Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,samp_collect_device,Sample Name,SRA Study,Depth_m,replicate,size_fraction,CH4_uM,H2S_Um,oxygen,Oxygen_uM,Particulate_Sulfur_uM,salinity,Temperature_degree_C,TZVS_uM
SRR8062327,WGS,299,24845629998,PRJNA326482,SAMN10231907,Metagenome or environmental,10989908035,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891820,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2a200A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2a200A,SRP077602,200,a,>2.7µm,,,,,,,,
SRR8062328,WGS,298,30190895320,PRJNA326482,SAMN10231906,Metagenome or environmental,13256522885,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891819,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2b143A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2b143A,SRP077602,143,b,>2.7µm,,,,,,,,
SRR8062329,WGS,300,26920751629,PRJNA326482,SAMN10231924,Metagenome or environmental,11388901072,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891818,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2b267B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2b267B,SRP077602,267,b,0.2-2.7µm,,,,,,,,
SRR8062330,WGS,300,18635616814,PRJNA326482,SAMN10231902,Metagenome or environmental,7433601006,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891817,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3b295B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3b295B,SRP077602,295,b,0.2-2.7µm,,,,,,,,
SRR8062331,WGS,300,17154610340,PRJNA326482,SAMN10231903,Metagenome or environmental,6947074332,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891816,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3a314B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3a314B,SRP077602,314,a,0.2-2.7µm,,,,,,,,
SRR8062332,WGS,300,20700974532,PRJNA326482,SAMN10231900,Metagenome or environmental,8274048060,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891815,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3b234B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3b234B,SRP077602,234,b,0.2-2.7µm,,,,,,,,
SRR8062333,WGS,300,34310348622,PRJNA326482,SAMN10231901,Metagenome or environmental,13877416435,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891814,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3a295B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3a295B,SRP077602,295,a,0.2-2.7µm,,,,,,,,
SRR8062334,WGS,300,14950807756,PRJNA326482,SAMN10231898,Metagenome or environmental,5995700683,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891813,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3b198B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3b198B,SRP077602,198,b,0.2-2.7µm,,,,,,,,
SRR8062335,WGS,300,15857556656,PRJNA326482,SAMN10231899,Metagenome or environmental,6424072385,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891812,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3a234B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3a234B,SRP077602,234,a,0.2-2.7µm,,,,,,,,
SRR8062336,WGS,300,16611040431,PRJNA326482,SAMN10231896,Metagenome or environmental,6618297487,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891811,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3b103B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3b103B,SRP077602,103,b,0.2-2.7µm,,,,,,,,
SRR8062337,WGS,300,18263636548,PRJNA326482,SAMN10231897,Metagenome or environmental,7697361681,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891810,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3a198B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3a198B,SRP077602,198,a,0.2-2.7µm,,,,,,,,
SRR8062338,WGS,300,30058562223,PRJNA326482,SAMN10231916,Metagenome or environmental,12388536399,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891809,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2b143B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2b143B,SRP077602,143,b,0.2-2.7µm,,,,,,,,
SRR8062339,WGS,300,42126115548,PRJNA326482,SAMN10231917,Metagenome or environmental,18867729312,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891808,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2a200B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2a200B,SRP077602,200,a,0.2-2.7µm,,,,,,,,
SRR8062340,WGS,300,27589799554,PRJNA326482,SAMN10231918,Metagenome or environmental,11817280045,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891807,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2b200B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2b200B,SRP077602,200,b,0.2-2.7µm,,,,,,,,
SRR8062341,WGS,300,20579232278,PRJNA326482,SAMN10231919,Metagenome or environmental,8791155687,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891806,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2a237B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2a237B,SRP077602,237,a,0.2-2.7µm,,,,,,,,
SRR8062342,WGS,300,22608620545,PRJNA326482,SAMN10231920,Metagenome or environmental,9609079351,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891805,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2b237B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2b237B,SRP077602,237,b,0.2-2.7µm,,,,,,,,
SRR8062343,WGS,300,25737008477,PRJNA326482,SAMN10231921,Metagenome or environmental,11095935364,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891804,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2a247B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2a247B,SRP077602,247,a,0.2-2.7µm,,,,,,,,
SRR8062344,WGS,300,19759924366,PRJNA326482,SAMN10231904,Metagenome or environmental,7941650295,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891803,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3b314B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3b314B,SRP077602,314,b,0.2-2.7µm,,,,,,,,
SRR8062345,WGS,300,24745532152,PRJNA326482,SAMN10231905,Metagenome or environmental,10871739037,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891802,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2a143A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2a143A,SRP077602,143,a,>2.7µm,,,,,,,,
SRR8062346,WGS,297,22227137493,PRJNA326482,SAMN10231894,Metagenome or environmental,9237837791,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891801,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3b314A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3b314A,SRP077602,314,b,>2.7µm,,,,,,,,
SRR8062347,WGS,299,17803740085,PRJNA326482,SAMN10231895,Metagenome or environmental,7430309820,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891800,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3a103B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3a103B,SRP077602,103,a,0.2-2.7µm,,,,,,,,
SRR8062348,WGS,298,15704851992,PRJNA326482,SAMN10231892,Metagenome or environmental,6843795399,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891799,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3b295A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3b295A,SRP077602,295,b,>2.7µm,,,,,,,,
SRR8062349,WGS,297,21637398045,PRJNA326482,SAMN10231893,Metagenome or environmental,9096183819,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891798,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3a314A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3a314A,SRP077602,314,a,>2.7µm,,,,,,,,
SRR8062350,WGS,296,26102385818,PRJNA326482,SAMN10231890,Metagenome or environmental,11288987049,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891797,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3b234A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3b234A,SRP077602,234,b,>2.7µm,,,,,,,,
SRR8062351,WGS,299,17446211714,PRJNA326482,SAMN10231891,Metagenome or environmental,7521403417,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891796,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3a295A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3a295A,SRP077602,295,a,>2.7µm,,,,,,,,
SRR8062352,WGS,297,20650079308,PRJNA326482,SAMN10231888,Metagenome or environmental,8962040244,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891795,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3b198A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3b198A,SRP077602,198,b,>2.7µm,,,,,,,,
SRR8062353,WGS,298,33253596077,PRJNA326482,SAMN10231889,Metagenome or environmental,14116065206,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891794,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3a234A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3a234A,SRP077602,234,a,>2.7µm,,,,,,,,
SRR8062354,WGS,296,18065070747,PRJNA326482,SAMN10231886,Metagenome or environmental,7802604415,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891793,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3b103A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3b103A,SRP077602,103,b,>2.7µm,,,,,,,,
SRR8062355,WGS,298,23863313249,PRJNA326482,SAMN10231887,Metagenome or environmental,10100870884,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891792,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D3a198A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3a198A,SRP077602,198,a,>2.7µm,,,,,,,,
SRR8062584,WGS,298,25027120712,PRJNA326482,SAMN10231728,Metagenome or environmental,10694932888,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4892055,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,SUB4622031,PAIRED,RANDOM,METAGENOMIC,seawater metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D3a103A,SRP077602,,,,,,,,,,,
SRR3735204,AMPLICON,601,271483742,PRJNA326482,SAMN05325824,Metagenome or environmental,182623200,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1890724,Venezuela,South America,Venezuela: Cariaco Basin,Illumina MiSeq,seawater,10.617 N 65.167 W,AB3a103A,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2016-07-05T00:00:00Z,Niskin bottle,AB3a103A,SRP077602,103,a,>2.7µm,0.02,0,Oxic,122.9,0.0,36.7,19.7,0.00
SRR3735205,AMPLICON,601,275706452,PRJNA326482,SAMN05325825,Metagenome or environmental,187509918,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1890725,Venezuela,South America,Venezuela: Cariaco Basin,Illumina MiSeq,seawater,10.617 N 65.167 W,AB3b103A,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2016-07-05T00:00:00Z,Niskin bottle,AB3b103A,SRP077602,103,b,>2.7µm,0.02,0,Oxic,122.9,0.0,36.7,19.7,0.00
SRR3735206,AMPLICON,601,249721,PRJNA326482,SAMN05325834,Metagenome or environmental,273780,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1890726,Venezuela,South America,Venezuela: Cariaco Basin,Illumina MiSeq,seawater,10.617 N 65.167 W,AB3a900A,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2016-07-05T00:00:00Z,Niskin bottle,AB3a900A,SRP077602,900,a,>2.7µm,12.42,70.33,"Deep Anoxic, Sulfidic",0.0,0.0,36.3,17.1,0.00
SRR3735207,AMPLICON,600,202981534,PRJNA326482,SAMN05325835,Metagenome or environmental,137492609,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1890727,Venezuela,South America,Venezuela: Cariaco Basin,Illumina MiSeq,seawater,10.617 N 65.167 W,AB1b900A,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2016-07-05T00:00:00Z,Niskin bottle,AB1b900A,SRP077602,900,b,>2.7µm,12.42,70.33,"Deep Anoxic, Sulfidic",0.0,0.0,36.3,17.1,0.00
SRR3735208,AMPLICON,601,327734935,PRJNA326482,SAMN05325836,Metagenome or environmental,219460862,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1890729,Venezuela,South America,Venezuela: Cariaco Basin,Illumina MiSeq,seawater,10.617 N 65.167 W,AB3a103B,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2016-07-05T00:00:00Z,Niskin bottle,AB3a103B,SRP077602,103,a,0.2-2.7µm,0.02,0,Oxic,122.9,0.0,36.7,19.7,0.00
SRR3735209,AMPLICON,601,267260847,PRJNA326482,SAMN05325837,Metagenome or environmental,176869989,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1890730,Venezuela,South America,Venezuela: Cariaco Basin,Illumina MiSeq,seawater,10.617 N 65.167 W,AB3b103B,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2016-07-05T00:00:00Z,Niskin bottle,AB3b103B,SRP077602,103,b,0.2-2.7µm,0.02,0,Oxic,122.9,0.0,36.7,19.7,0.00
SRR3735210,AMPLICON,601,381415268,PRJNA326482,SAMN05325838,Metagenome or environmental,259702082,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1890731,Venezuela,South America,Venezuela: Cariaco Basin,Illumina MiSeq,seawater,10.617 N 65.167 W,AB3a198B,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2016-07-05T00:00:00Z,Niskin bottle,AB3a198B,SRP077602,198,a,0.2-2.7µm,0.02,0,Micro-oxic,31.9,0.0,36.4,18.1,0.00
SRR3735211,AMPLICON,601,317224796,PRJNA326482,SAMN05325839,Metagenome or environmental,212427078,STONY BROOK UNIVERSITY,May-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1890732,Venezuela,South America,Venezuela: Cariaco Basin,Illumina MiSeq,seawater,10.617 N 65.167 W,AB3b198B,PAIRED,PCR,METAGENOMIC,marine metagenome,ILLUMINA,2016-07-05T00:00:00Z,Niskin bottle,AB3b198B,SRP077602,198,b,0.2-2.7µm,0.02,0,Micro-oxic,31.9,0.0,36.4,18.1,0.00
